RTL-Repo: A Benchmark for Evaluating LLMs on Large-Scale RTL Design Projects,IEEE Year: 2024
FormalEval: A Method for Automatic Evaluation of Code Generation via Large Language Models,IEEE Year: 2024
Test-Driven Development and LLM-based Code Generation,IEEE Year: 2024
LLM - Based Code Generation for Querying Temporal Tabular Financial Data,IEEE Year: 2024
RTLCoder: Outperforming GPT-3.5 in Design RTL Generation with Our Open-Source Dataset and Lightweight Solution,IEEE Year: 2024
"$\mathbf{A^{3}}$A3-CodGen: A Repository-Level Code Generation Framework for Code Reuse With Local-Aware, Global-Aware, and Third-Party-Library-Aware",IEEE Year: 2024
Qiskit Code Assistant: Training LLMs for generating Quantum Computing Code,IEEE Year: 2024
LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation,IEEE Year: 2024
Benchmarking Large Language Models for Ethereum Smart Contract Development,IEEE Year: 2024
Imperfect Code Generation: Uncovering Weaknesses in Automatic Code Generation by Large Language Models,IEEE Year: 2024
An Empirical Comparison of Code Generation Approaches for Ansible,IEEE Year: 2024
RGD: Multi-LLM Based Agent Debugger via Refinement and Generation Guidance,IEEE Year: 2024
User Centric Evaluation of Code Generation Tools (Invited Paper),IEEE Year: 2024
A Fine-tuning Dataset and Benchmark for Large Language Models for Protein Understanding,IEEE Year: 2024
Compositional API Recommendation for Library-Oriented Code Generation,IEEE Year: 2024
Invited Paper: VerilogEval: Evaluating Large Language Models for Verilog Code Generation,IEEE Year: 2023
An Iteratively-refined Dataset for High-Level Synthesis Functional Verification through LLM-Aided Bug Injection,IEEE Year: 2024
CodeFuse-13B: A Pretrained Multi-Lingual Code Large Language Model,IEEE Year: 2024
Mutation-based Consistency Testing for Evaluating the Code Understanding Capability of LLMs,IEEE Year: 2024
Rome was Not Built in a Single Step: Hierarchical Prompting for LLM-based Chip Design,IEEE Year: 2024
Generating P4 Dataplanes Using LLMs,IEEE Year: 2024
Fix the Tests: Augmenting LLMs to Repair Test Cases with Static Collector and Neural Reranker,IEEE Year: 2024
Benchmarking Large Language Models for Automated Verilog RTL Code Generation,IEEE Year: 2023
Towards Understanding the Effectiveness of Large Language Models on Directed Test Input Generation,IEEE Year: 2024
ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation,IEEE Year: 2024
RTL-Repo: A Benchmark for Evaluating LLMs on Large-Scale RTL Design Projects,IEEE Year: 2024
FormalEval: A Method for Automatic Evaluation of Code Generation via Large Language Models,IEEE Year: 2024
Test-Driven Development and LLM-based Code Generation,IEEE Year: 2024
LLM - Based Code Generation for Querying Temporal Tabular Financial Data,IEEE Year: 2024
RTLCoder: Outperforming GPT-3.5 in Design RTL Generation with Our Open-Source Dataset and Lightweight Solution,IEEE Year: 2024
"$\mathbf{A^{3}}$A3-CodGen: A Repository-Level Code Generation Framework for Code Reuse With Local-Aware, Global-Aware, and Third-Party-Library-Aware",IEEE Year: 2024
Qiskit Code Assistant: Training LLMs for generating Quantum Computing Code,IEEE Year: 2024
LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation,IEEE Year: 2024
Benchmarking Large Language Models for Ethereum Smart Contract Development,IEEE Year: 2024
Imperfect Code Generation: Uncovering Weaknesses in Automatic Code Generation by Large Language Models,IEEE Year: 2024
An Empirical Comparison of Code Generation Approaches for Ansible,IEEE Year: 2024
RGD: Multi-LLM Based Agent Debugger via Refinement and Generation Guidance,IEEE Year: 2024
User Centric Evaluation of Code Generation Tools (Invited Paper),IEEE Year: 2024
A Fine-tuning Dataset and Benchmark for Large Language Models for Protein Understanding,IEEE Year: 2024
Compositional API Recommendation for Library-Oriented Code Generation,IEEE Year: 2024
Invited Paper: VerilogEval: Evaluating Large Language Models for Verilog Code Generation,IEEE Year: 2023
An Iteratively-refined Dataset for High-Level Synthesis Functional Verification through LLM-Aided Bug Injection,IEEE Year: 2024
CodeFuse-13B: A Pretrained Multi-Lingual Code Large Language Model,IEEE Year: 2024
Mutation-based Consistency Testing for Evaluating the Code Understanding Capability of LLMs,IEEE Year: 2024
Rome was Not Built in a Single Step: Hierarchical Prompting for LLM-based Chip Design,IEEE Year: 2024
Generating P4 Dataplanes Using LLMs,IEEE Year: 2024
Fix the Tests: Augmenting LLMs to Repair Test Cases with Static Collector and Neural Reranker,IEEE Year: 2024
Benchmarking Large Language Models for Automated Verilog RTL Code Generation,IEEE Year: 2023
Towards Understanding the Effectiveness of Large Language Models on Directed Test Input Generation,IEEE Year: 2024
ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation,IEEE Year: 2024
RTLCoder: Fully Open-Source and Efficient LLM-Assisted RTL Code Generation Technique,IEEE Year: 2024
Enhancing GPT-3.5's Proficiency in Netlogo Through Few-Shot Prompting and Retrieval-Augmented Generation,IEEE Year: 2024
Empowering Hardware Security with LLM: The Development of a Vulnerable Hardware Database,IEEE Year: 2024
Are Large Language Models Good Neural Architecture Generators for Edge?,IEEE Year: 2024
"Evaluating the Performance of Large Language Models in Competitive Programming: A Multi-Year, Multi-Grade Analysis",IEEE Year: 2024
LLM-Seg: Bridging Image Segmentation and Large Language Model Reasoning,IEEE Year: 2024
"Survey of Different Large Language Model Architectures: Trends, Benchmarks, and Challenges",IEEE Year: 2024
LogiCode: An LLM-Driven Framework for Logical Anomaly Detection,IEEE Year: 2024
Reality Bites: Assessing the Realism of Driving Scenarios with Large Language Models,IEEE Year: 2024
Advancing Multimodal Large Language Models in Chart Question Answering with Visualization-Referenced Instruction Tuning,IEEE Year: 2025
Detection of AI-Generated Text Using Large Language Model,IEEE Year: 2024
Evaluating Diverse Large Language Models for Automatic and General Bug Reproduction,IEEE Year: 2024
Human Language to Analog Layout Using GLayout Layout Automation Framework,IEEE Year: 2024
Exploring Parameter-Efficient Fine-Tuning of Large Language Model on Automated Program Repair,IEEE Year: 2024
Understanding Open Source Large Language Models: An Exploratory Study,IEEE Year: 2024
Federated Recommendation via Hybrid Retrieval Augmented Generation,IEEE Year: 2024
Leveraging Large Language Models for Structure Learning in Prompted Weak Supervision,IEEE Year: 2023
