Evaluation of Code LLMs on Geospatial Code Generation,https://dl.acm.org/doi/10.1145/3687123.3698286,January 2025
Teaching Code LLMs to Use Autocompletion Tools in Repository-Level Code Generation,https://dl.acm.org/doi/10.1145/3714462,May 2024
CodeFuse-13B: A Pretrained Multi-lingual Code Large Language Model,https://dl.acm.org/doi/10.1145/3639477.3639719,June 2024
Generating Software Tests for Mobile Applications Using Fine-Tuned Large Language Models,https://dl.acm.org/doi/10.1145/3644032.3644454,November 2024
RTLFixer: Automatically Fixing RTL Syntax Errors with Large Language Model,https://dl.acm.org/doi/10.1145/3649329.3657353,November 2024
Data is all you need:  Finetuning LLMs for Chip Design via an Automated design-data augmentation framework,https://dl.acm.org/doi/10.1145/3649329.3657356,June 2024
A Performance Study of LLM-Generated Code on Leetcode,https://dl.acm.org/doi/10.1145/3661167.3661221,January 2025
An Empirical Study of the Non-Determinism of ChatGPT in Code Generation,https://dl.acm.org/doi/10.1145/3697010,June 2024
Towards Efficient Data Wrangling with LLMs using Code Generation,https://dl.acm.org/doi/10.1145/3650203.3663334,January 2025
CRUD-RAG: A Comprehensive Chinese Benchmark for Retrieval-Augmented Generation of Large Language Models,https://dl.acm.org/doi/10.1145/3701228,June 2024
Compositional API Recommendation for Library-Oriented Code Generation,https://dl.acm.org/doi/10.1145/3643916.3644403,October 2024
SALLM: Security Assessment of Generated Code,https://dl.acm.org/doi/10.1145/3691621.3694934,June 2024
Mutation-based Consistency Testing for Evaluating the Code Understanding Capability of LLMs,https://dl.acm.org/doi/10.1145/3644815.3644946,May 2024
NL2Fix: Generating Functionally Correct Code Edits from Bug Descriptions,https://dl.acm.org/doi/10.1145/3639478.3643526,October 2024
ToxVI: a Multimodal LLM-based Framework for Generating Intervention in Toxic Code-Mixed Videos,https://dl.acm.org/doi/10.1145/3627673.3680004,April 2024
Software/Hardware Co-Design for LLM and Its Application for Design Verification,https://dl.acm.org/doi/10.1109/ASP-DAC58780.2024.10473893,October 2024
Time-Sensitve Retrieval-Augmented Generation for Question Answering,https://dl.acm.org/doi/10.1145/3627673.3679800,October 2024
