Test-Driven Development and LLM-based Code Generation,https://dl.acm.org/doi/abs/10.1145/3691620.3695527,"NS Mathews, M Nagappan - Proceedings of the 39th IEEE/ACM …, 2024 - dl.acm.org"
[PDF] Beyond synthetic benchmarks: Assessing recent LLMs for code generation,https://www.researchgate.net/profile/Amirkia-Rafiei-Oskooei/publication/386373130_Beyond_Synthetic_Benchmarks_Assessing_Recent_LLMs_for_Code_Generation/links/674f03bef309a268c0220af8/Beyond-Synthetic-Benchmarks-Assessing-Recent-LLMs-for-Code-Generation.pdf,"AR Oskooei, MS Babacan, E Yağcı… - The 14th International …, 2024 - researchgate.net"
Classeval: A manually-crafted benchmark for evaluating llms on class-level code generation,https://arxiv.org/abs/2308.01861,"X Du, M Liu, K Wang, H Wang, J Liu, Y Chen… - arXiv preprint arXiv …, 2023 - arxiv.org"
A Survey on Large Language Models for Code Generation,https://arxiv.org/abs/2406.00515,"J Jiang, F Wang, J Shen, S Kim, S Kim - arXiv preprint arXiv:2406.00515, 2024 - arxiv.org"
When llm-based code generation meets the software development process,https://arxiv.org/abs/2403.15852,"F Lin, DJ Kim - arXiv preprint arXiv:2403.15852, 2024 - arxiv.org"
Towards more realistic evaluation of LLM-based code generation: an experimental study and beyond,https://arxiv.org/abs/2406.06918,"D Zheng, Y Wang, E Shi, R Zhang, Y Ma… - arXiv preprint arXiv …, 2024 - arxiv.org"
LLM is Like a Box of Chocolates: the Non-determinism of ChatGPT in Code Generation,https://arxiv.org/abs/2308.02828,"S Ouyang, JM Zhang, M Harman, M Wang - arXiv preprint arXiv …, 2023 - arxiv.org"
Don't make your llm an evaluation benchmark cheater,https://arxiv.org/abs/2311.01964,"K Zhou, Y Zhu, Z Chen, W Chen, WX Zhao… - arXiv preprint arXiv …, 2023 - arxiv.org"
Is your code generated by chatgpt really correct? rigorous evaluation of large language models for code generation,https://proceedings.neurips.cc/paper_files/paper/2023/hash/43e9d647ccd3e4b7b5baab53f0368686-Abstract-Conference.html,"J Liu, CS Xia, Y Wang, L Zhang - Advances in Neural …, 2024 - proceedings.neurips.cc"
Mercury: An efficiency benchmark for llm code synthesis,https://arxiv.org/abs/2402.07844,"M Du, AT Luu, B Ji, SK Ng - arXiv preprint arXiv:2402.07844, 2024 - arxiv.org"
Bigcodebench: Benchmarking code generation with diverse function calls and complex instructions,https://arxiv.org/abs/2406.15877,"TY Zhuo, MC Vu, J Chim, H Hu, W Yu… - arXiv preprint arXiv …, 2024 - arxiv.org"
EvoCodeBench: An Evolving Code Generation Benchmark Aligned with Real-World Code Repositories,https://arxiv.org/abs/2404.00599,"J Li, G Li, X Zhang, Y Dong, Z Jin - arXiv preprint arXiv:2404.00599, 2024 - arxiv.org"
Codescope: An execution-based multilingual multitask multidimensional benchmark for evaluating llms on code understanding and generation,https://arxiv.org/abs/2311.08588,"W Yan, H Liu, Y Wang, Y Li, Q Chen, W Wang… - arXiv preprint arXiv …, 2023 - arxiv.org"
[PDF] The Fault in our Stars: Quality Assessment of Code Generation Benchmarks,https://lsiddiqsunny.github.io/public/2404.10155v1.pdf,"ML Siddiq, S Dristi, J Saha… - arXiv preprint arXiv …, 2024 - lsiddiqsunny.github.io"
Exploring and evaluating hallucinations in llm-powered code generation,https://arxiv.org/abs/2404.00971,"F Liu, Y Liu, L Shi, H Huang, R Wang, Z Yang… - arXiv preprint arXiv …, 2024 - arxiv.org"
